,img,seg
1,training_data/1-100.png,training_groundtruth/1-100.png
2,training_data/1-101.png,training_groundtruth/1-101.png
3,training_data/1-102.png,training_groundtruth/1-102.png
4,training_data/1-103.png,training_groundtruth/1-103.png
5,training_data/1-104.png,training_groundtruth/1-104.png
6,training_data/1-105.png,training_groundtruth/1-105.png
7,training_data/1-106.png,training_groundtruth/1-106.png
8,training_data/1-107.png,training_groundtruth/1-107.png
9,training_data/1-108.png,training_groundtruth/1-108.png
10,training_data/1-109.png,training_groundtruth/1-109.png
11,training_data/1-110.png,training_groundtruth/1-110.png
12,training_data/1-111.png,training_groundtruth/1-111.png
13,training_data/1-112.png,training_groundtruth/1-112.png
14,training_data/1-113.png,training_groundtruth/1-113.png
15,training_data/1-114.png,training_groundtruth/1-114.png
16,training_data/1-115.png,training_groundtruth/1-115.png
17,training_data/1-116.png,training_groundtruth/1-116.png
18,training_data/1-117.png,training_groundtruth/1-117.png
19,training_data/1-118.png,training_groundtruth/1-118.png
20,training_data/1-119.png,training_groundtruth/1-119.png
21,training_data/1-120.png,training_groundtruth/1-120.png
22,training_data/1-121.png,training_groundtruth/1-121.png
23,training_data/1-122.png,training_groundtruth/1-122.png
24,training_data/1-123.png,training_groundtruth/1-123.png
25,training_data/1-124.png,training_groundtruth/1-124.png
26,training_data/1-125.png,training_groundtruth/1-125.png
27,training_data/1-126.png,training_groundtruth/1-126.png
28,training_data/1-127.png,training_groundtruth/1-127.png
29,training_data/1-128.png,training_groundtruth/1-128.png
30,training_data/1-129.png,training_groundtruth/1-129.png
31,training_data/1-130.png,training_groundtruth/1-130.png
32,training_data/1-131.png,training_groundtruth/1-131.png
33,training_data/1-132.png,training_groundtruth/1-132.png
34,training_data/1-133.png,training_groundtruth/1-133.png
35,training_data/1-134.png,training_groundtruth/1-134.png
36,training_data/1-135.png,training_groundtruth/1-135.png
37,training_data/1-136.png,training_groundtruth/1-136.png
38,training_data/1-137.png,training_groundtruth/1-137.png
39,training_data/1-138.png,training_groundtruth/1-138.png
40,training_data/1-139.png,training_groundtruth/1-139.png
41,training_data/1-140.png,training_groundtruth/1-140.png
42,training_data/1-141.png,training_groundtruth/1-141.png
43,training_data/1-142.png,training_groundtruth/1-142.png
44,training_data/1-143.png,training_groundtruth/1-143.png
45,training_data/1-144.png,training_groundtruth/1-144.png
46,training_data/1-145.png,training_groundtruth/1-145.png
47,training_data/1-146.png,training_groundtruth/1-146.png
48,training_data/1-147.png,training_groundtruth/1-147.png
49,training_data/1-148.png,training_groundtruth/1-148.png
50,training_data/1-149.png,training_groundtruth/1-149.png
51,training_data/1-150.png,training_groundtruth/1-150.png
52,training_data/1-151.png,training_groundtruth/1-151.png
53,training_data/1-152.png,training_groundtruth/1-152.png
54,training_data/1-153.png,training_groundtruth/1-153.png
55,training_data/1-154.png,training_groundtruth/1-154.png
56,training_data/1-155.png,training_groundtruth/1-155.png
57,training_data/1-156.png,training_groundtruth/1-156.png
58,training_data/1-157.png,training_groundtruth/1-157.png
59,training_data/1-158.png,training_groundtruth/1-158.png
60,training_data/1-159.png,training_groundtruth/1-159.png
61,training_data/1-160.png,training_groundtruth/1-160.png
62,training_data/1-161.png,training_groundtruth/1-161.png
63,training_data/1-162.png,training_groundtruth/1-162.png
64,training_data/1-163.png,training_groundtruth/1-163.png
65,training_data/1-164.png,training_groundtruth/1-164.png
66,training_data/1-165.png,training_groundtruth/1-165.png
67,training_data/1-166.png,training_groundtruth/1-166.png
68,training_data/1-167.png,training_groundtruth/1-167.png
69,training_data/1-168.png,training_groundtruth/1-168.png
70,training_data/1-169.png,training_groundtruth/1-169.png
71,training_data/1-170.png,training_groundtruth/1-170.png
72,training_data/1-171.png,training_groundtruth/1-171.png
73,training_data/1-172.png,training_groundtruth/1-172.png
74,training_data/1-173.png,training_groundtruth/1-173.png
75,training_data/1-174.png,training_groundtruth/1-174.png
76,training_data/1-175.png,training_groundtruth/1-175.png
77,training_data/1-176.png,training_groundtruth/1-176.png
78,training_data/1-177.png,training_groundtruth/1-177.png
79,training_data/1-178.png,training_groundtruth/1-178.png
80,training_data/1-179.png,training_groundtruth/1-179.png
81,training_data/1-180.png,training_groundtruth/1-180.png
82,training_data/1-181.png,training_groundtruth/1-181.png
83,training_data/1-182.png,training_groundtruth/1-182.png
84,training_data/1-183.png,training_groundtruth/1-183.png
