,img,seg
1,training_data/1-100.png,training_groundtruth/1-100.png
2,training_data/1-101.png,training_groundtruth/1-101.png
3,training_data/1-102.png,training_groundtruth/1-102.png
4,training_data/1-103.png,training_groundtruth/1-103.png
5,training_data/1-104.png,training_groundtruth/1-104.png
6,training_data/1-105.png,training_groundtruth/1-105.png
7,training_data/1-106.png,training_groundtruth/1-106.png
8,training_data/1-107.png,training_groundtruth/1-107.png
9,training_data/1-108.png,training_groundtruth/1-108.png
10,training_data/1-109.png,training_groundtruth/1-109.png
11,training_data/1-110.png,training_groundtruth/1-110.png
